path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-1.avi	C576J	11568	25mm	1	1	39659520	223f9ff1bc61b6a0c50f707ac5cd9b95	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-1.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-2.avi	C576J	11568	25mm	1	2	48213504	de7afdec34d1cab978b2c439f93cfed2	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-2.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-3.avi	C576J	11568	25mm	1	3	74713600	59fd9a39213ad5c0853e11bfa80985b6	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-3.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-4.avi	C576J	11568	25mm	1	4	60993536	e1d52617096ef27d93161500018dfea5	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-4.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-5.avi	C576J	11568	25mm	1	5	32508416	3ed84f76b0e02e8508902d9a34f2d845	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-5.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-6.avi	C576J	11568	25mm	1	6	51712000	e928b8a9d7ba5c0cff050bc7a291982b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-6.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-7.avi	C576J	11568	25mm	1	7	50273792	44da66a47044ee2ce652b9e85cba05e7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-7.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-8.avi	C576J	11568	25mm	1	8	49285632	0a012bcc3aed2b2af42d27a210fd3339	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1-8.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run1.smp	C576J	11568	25mm	1	N/A	14848	5b6fbe9de5a6a5c185119485f30def33	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run1.smp
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-1.avi	C576J	11568	25mm	2	1	25086464	c425b6d6322f47e819432bb3cc216b97	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-1.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-2.avi	C576J	11568	25mm	2	2	30488576	c620b8d1230ed5aee5ee77a06c03e21e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-2.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-3.avi	C576J	11568	25mm	2	3	47466496	2e99e147f6ecbeea7476e15458f517ea	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-3.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-4.avi	C576J	11568	25mm	2	4	38791680	e9594c1bbf249b1a04e365bfa67ed60b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-4.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-5.avi	C576J	11568	25mm	2	5	20741120	e44cdb322c3317c0a36dcdfca58b64b7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-5.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-6.avi	C576J	11568	25mm	2	6	32585216	5c9adc659cf5e55357a0d6f27075750b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-6.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-7.avi	C576J	11568	25mm	2	7	31581696	7f826d224a0964dfbfd0d4aa770f51ca	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-7.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-8.avi	C576J	11568	25mm	2	8	31203328	d9e99d30a23b5ae84b8eb2e90f2bf7f2	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2-8.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run2.smp	C576J	11568	25mm	2	N/A	14848	8c8704ea9e14736ce166d845c661c54c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run2.smp
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-1.avi	C576J	11568	25mm	3	1	31070208	094c370fa6c0beeb7018561ce537451e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-1.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-2.avi	C576J	11568	25mm	3	2	37218304	4ba702f1875d663ca659e800d4a2fac3	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-2.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-3.avi	C576J	11568	25mm	3	3	58142208	7002e7845f01aa97d8fb05dd236b4887	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-3.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-4.avi	C576J	11568	25mm	3	4	47511552	4f437374ae65cf01b2392caf9319c2b2	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-4.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-5.avi	C576J	11568	25mm	3	5	25389056	0095d5c74b3d11c271fcf330dd22f2b5	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-5.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-6.avi	C576J	11568	25mm	3	6	40112128	900227ece3adbb0f0a870d9dc6d0a144	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-6.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-7.avi	C576J	11568	25mm	3	7	38982144	728376abd7ee1de37bb3281b2ba66751	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-7.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-8.avi	C576J	11568	25mm	3	8	38539264	fd7669517edea7e8a46db9bf6b587e8e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3-8.avi
C576J_36wks_25mm/C576J_Mouse11568_25mm_run3.smp	C576J	11568	25mm	3	N/A	14848	5269b4be2b972020a07cba98ce0392fc	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11568_25mm_run3.smp
C576J_36wks_25mm/C576J_Mouse11571_25mm_run1-1.avi	C576J	11571	25mm	1	1	36325888	057b114197c8257a9fefaec16a45d19e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/C576J_36wks_25mm/C576J_Mouse11571_25mm_run1-1.avi
