path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
C576J_36wks_spaghetti/C576J_Mouse11584_spaghetto_trial6-8.avi	C576J	11584	spaghetto	6	8	163821568	d33daabb85511b13dc344308ee003a0e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11584_spaghetto_trial6-8.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-1.avi	C576J	11568	spaghetto	1	1	100581376	53d186929b2ceb2d484e466a933b8ef5	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-1.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-2.avi	C576J	11568	spaghetto	1	2	103120896	664aa8648592e59ae7ca5f23fe08305b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-2.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-3.avi	C576J	11568	spaghetto	1	3	153476608	9c8d983dfb15998e1780f90462a1577f	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-3.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-4.avi	C576J	11568	spaghetto	1	4	99098112	05f8b2fb77ded690628e11c70ab632c7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-4.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-5.avi	C576J	11568	spaghetto	1	5	74255360	7e00bae170d812d5f6061ee90452913b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-5.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-6.avi	C576J	11568	spaghetto	1	6	88248832	fc5d07fba379ca07cce56a3c3b57db18	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-6.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-7.avi	C576J	11568	spaghetto	1	7	96872448	200e7819a7871bfd89c750b2a5d35181	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-7.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-8.avi	C576J	11568	spaghetto	1	8	91013120	f97dc15aabd18d6be39af5d24594427b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial1-8.avi
C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial2.smp	C576J	11568	spaghetto	2	N/A	14848	68f1983a5e427ce03a48f439559f0fa0	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/C576J_36wks_spaghetti/C576J_Mouse11568_spaghetto_trial2.smp
