path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
CRCFT_9wks_5mm/Calibration-1.avi	N/A	N/A	N/A	N/A	N/A	131905024	637bacb5aa1012738c613486487d51e1	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-1.avi
CRCFT_9wks_5mm/Calibration-2.avi	N/A	N/A	N/A	N/A	N/A	61919232	f48165db879596cde493427efb527c4c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-2.avi
CRCFT_9wks_5mm/Calibration-3.avi	N/A	N/A	N/A	N/A	N/A	107447808	dd46b198536951c6d8859a3d72b4a128	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-3.avi
CRCFT_9wks_5mm/Calibration-4.avi	N/A	N/A	N/A	N/A	N/A	133085696	89c64ec67fc0800783326a4b9dd929ff	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-4.avi
CRCFT_9wks_5mm/Calibration-5.avi	N/A	N/A	N/A	N/A	N/A	88186368	fd71d465738cc595e51c82f5c47e5f90	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-5.avi
CRCFT_9wks_5mm/Calibration-6.avi	N/A	N/A	N/A	N/A	N/A	93169152	b368e08dc0505771ca76f1b7390e7ca8	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-6.avi
CRCFT_9wks_5mm/Calibration-7.avi	N/A	N/A	N/A	N/A	N/A	117686272	040fe72e8a89da5c77b44a398aade3db	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-7.avi
CRCFT_9wks_5mm/Calibration-8.avi	N/A	N/A	N/A	N/A	N/A	133954048	232f32cd50aae7b7ba34c636027e041c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration-8.avi
CRCFT_9wks_5mm/Calibration.smp	N/A	N/A	N/A	N/A	N/A	14848	fc5043f00469ca173ed0d127980a4b39	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/Calibration.smp
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-1.avi	CRCFT	11	5mm	1	1	141592576	ce7a789e2b807dc167a377f393df9091	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-1.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-2.avi	CRCFT	11	5mm	1	2	64123904	274f3e9f8ef0095940a95b5eb47e189d	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-2.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-3.avi	CRCFT	11	5mm	1	3	110855680	28b27a26514c23a8b7f660a2e2b3fa0a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-3.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-4.avi	CRCFT	11	5mm	1	4	137021440	705d151288f43890f92a24fff3fd2fe7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-4.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-5.avi	CRCFT	11	5mm	1	5	91524096	2788cb57748dbb22d52207e54c74b81e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-5.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-6.avi	CRCFT	11	5mm	1	6	99051520	4bb4f35b4ea41b6a901b6c33e9cf6848	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-6.avi
CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-7.avi	CRCFT	11	5mm	1	7	123694592	5151bbaacc957800fbf077961ad1e01a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/CRCFT_9wks_5mm/CRCFT_Mouse11_5mm_Run1-7.avi
