path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
CRCFT_9wks_spaghetti/Calibration-1.avi	N/A	N/A	N/A	N/A	N/A	73013248	205099d95f999a0db70ee800111a04a4	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-1.avi
CRCFT_9wks_spaghetti/Calibration-2.avi	N/A	N/A	N/A	N/A	N/A	165522432	4390770108cad3546be036e71391cd09	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-2.avi
CRCFT_9wks_spaghetti/Calibration-3.avi	N/A	N/A	N/A	N/A	N/A	89213440	954aa34cf94a2f260975b637919f3b9b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-3.avi
CRCFT_9wks_spaghetti/Calibration-4.avi	N/A	N/A	N/A	N/A	N/A	88946176	e75920df3d3fcce87ad9111af6643e81	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-4.avi
CRCFT_9wks_spaghetti/Calibration-5.avi	N/A	N/A	N/A	N/A	N/A	61401088	2dbfbae0d737d8e36636087834fd5565	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-5.avi
CRCFT_9wks_spaghetti/Calibration-6.avi	N/A	N/A	N/A	N/A	N/A	101407232	becb0dc0c97535c931f24835a4183a32	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-6.avi
CRCFT_9wks_spaghetti/Calibration-7.avi	N/A	N/A	N/A	N/A	N/A	64340992	8679537aafac66c502ed863a3c93f584	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-7.avi
CRCFT_9wks_spaghetti/Calibration-8.avi	N/A	N/A	N/A	N/A	N/A	80765952	507fa96816df8cf705d9af0c8a34d1fe	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration-8.avi
CRCFT_9wks_spaghetti/Calibration.smp	N/A	N/A	N/A	N/A	N/A	14848	09b012199173b91eee7ccfcce7b081da	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/Calibration.smp
CRCFT_9wks_spaghetti/CalibrationDLC-1.avi	N/A	N/A	N/A	N/A	N/A	93761024	eb99424e8c0b25f100b9a9965ca3fdb6	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-1.avi
CRCFT_9wks_spaghetti/CalibrationDLC-2.avi	N/A	N/A	N/A	N/A	N/A	78599680	6c9dd8b44b0ddb2bd31d9a4aafcc165f	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-2.avi
CRCFT_9wks_spaghetti/CalibrationDLC-3.avi	N/A	N/A	N/A	N/A	N/A	101697536	0f8c8ac989e46086036b853bb5f507fc	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-3.avi
CRCFT_9wks_spaghetti/CalibrationDLC-4.avi	N/A	N/A	N/A	N/A	N/A	89179136	aff4b74e17c6a2d68f75862c65db304a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-4.avi
CRCFT_9wks_spaghetti/CalibrationDLC-5.avi	N/A	N/A	N/A	N/A	N/A	99419136	f15833a0fac8148569212bd48633e2ab	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-5.avi
CRCFT_9wks_spaghetti/CalibrationDLC-6.avi	N/A	N/A	N/A	N/A	N/A	95962624	6d9b6ec7fdc62ee63640e4d1303e0ba7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Korotkova/CRCFT_9wks_spaghetti/CalibrationDLC-6.avi
