path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
EOCWB_12wks_12mm/EOCWB_Mouse426_12mm_Run3-8.avi	EOCWB	426	12mm	3	8	24552448	a9895ca2cca742baa3c3994fee9c4621	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse426_12mm_Run3-8.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1.smp	EOCWB	410	12mm	1	N/A	14848	b4ea9d79d55cfda98ebe396fa08f8e73	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1.smp
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-1.avi	EOCWB	410	12mm	1	1	43110400	6e127dfb0e85c028ace486f767d26b95	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-1.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-2.avi	EOCWB	410	12mm	1	2	51537920	f1bea37550c0c79d8c027019a2310b40	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-2.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-3.avi	EOCWB	410	12mm	1	3	81416192	8ddfbd76c3b397f6f5b11b16e0aa2c84	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-3.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-4.avi	EOCWB	410	12mm	1	4	67587584	f211c4d563d0bbc8792b1624ee1ffbec	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-4.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-5.avi	EOCWB	410	12mm	1	5	35783168	ac299be1526ad0a6283c53b5d4e0c8f4	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-5.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-6.avi	EOCWB	410	12mm	1	6	56297984	c22b2631dd18b4d4cb919dbcaa8882e1	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-6.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-7.avi	EOCWB	410	12mm	1	7	55566848	806b9a1678d90b18efc7f709cc215664	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-7.avi
EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-8.avi	EOCWB	410	12mm	1	8	55110656	c82830105e41fe3893a65f893f9dee67	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/EOCWB_12wks_12mm/EOCWB_Mouse410_12mm_Run1-8.avi
