path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
JTBEQ_12wks_12mm/JTBEQ_Mouse1289_12mm_Run4-8.avi	JTBEQ	1289	12mm	4	8	37693440	ab4bf420dbded18304b955ffa51c22ae	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1289_12mm_Run4-8.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1.smp	JTBEQ	1271	12mm	1	N/A	14848	0dee16c826c4ffddd05613d4fa8474b9	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1.smp
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-1.avi	JTBEQ	1271	12mm	1	1	27413504	ea1a331a59a91f6e071fc88419a07ffc	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-1.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-2.avi	JTBEQ	1271	12mm	1	2	31916544	38ca035c1f39ec3c83e5fd8cf108d657	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-2.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-3.avi	JTBEQ	1271	12mm	1	3	48226816	bf4255db23e2e679a1a681ee899761fd	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-3.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-4.avi	JTBEQ	1271	12mm	1	4	40494592	0f28bd692cfe7c8eba4d83f9ca33104c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-4.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-5.avi	JTBEQ	1271	12mm	1	5	16310272	63ecf277a4fae69bd4cec9c53387ca9b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-5.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-6.avi	JTBEQ	1271	12mm	1	6	35579392	70b51560b56bad4716a6650ccaecdd5d	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-6.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-7.avi	JTBEQ	1271	12mm	1	7	38243328	610069e9228cb866b472ee106c87ccb4	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-7.avi
JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-8.avi	JTBEQ	1271	12mm	1	8	33592832	0a4fec6da1d1cde25eb2b0665a76c5fa	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTBEQ_12wks_12mm/JTBEQ_Mouse1271_12mm_Run1-8.avi
