path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-1.avi	JTDKE	1110	5 mm	1	1	122791936	c4b025f82837993b14e0796228160917	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-1.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-2.avi	JTDKE	1110	5 mm	1	2	57282048	ad2a2d5b7c06862596ee1464250ae026	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-2.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-3.avi	JTDKE	1110	5 mm	1	3	98234368	a8cacff5e6a0741c4e81bca4540fd750	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-3.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-4.avi	JTDKE	1110	5 mm	1	4	119814656	ad045bf160df69430e32b980e01646b7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-4.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-5.avi	JTDKE	1110	5 mm	1	5	80385536	f0735f37811f46de7779723d27b1638b	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-5.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-6.avi	JTDKE	1110	5 mm	1	6	85856768	9b014529da35d8af5bedf25c0f8773c3	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-6.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-7.avi	JTDKE	1110	5 mm	1	7	106384384	fa7c009785628cb132380f00e55044a0	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-7.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-8.avi	JTDKE	1110	5 mm	1	8	119206912	0bbde237dec31d6e07768ca5aa18b4f7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1-8.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1.smp	JTDKE	1110	5 mm	1	N/A	14848	910ee241cccf92a43381109117a8e210	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run1.smp
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-1.avi	JTDKE	1110	5 mm	2	1	135366144	f542ac80c011741728cb2a6278140b51	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-1.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-2.avi	JTDKE	1110	5 mm	2	2	62953472	360281a0e35aaf791aa738d7d7753590	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-2.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-3.avi	JTDKE	1110	5 mm	2	3	108024832	ea19923adfeaa1b57b008842d9d0b927	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-3.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-4.avi	JTDKE	1110	5 mm	2	4	133132800	cbe913c3cebe28d73aaa4a0f56305904	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-4.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-5.avi	JTDKE	1110	5 mm	2	5	88550912	01791e2d8be94da14573b8a03d282827	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-5.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-6.avi	JTDKE	1110	5 mm	2	6	94853120	67ed50c3e222aa0faa154f41d7f46f97	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-6.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-7.avi	JTDKE	1110	5 mm	2	7	118996992	c9488a2edf8a90749acc0e6beef6294d	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-7.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-8.avi	JTDKE	1110	5 mm	2	8	133803008	60a0d0d2197a9cfd61001af2872de6f8	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2-8.avi
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2.smp	JTDKE	1110	5 mm	2	N/A	14848	ed692686574965df1339533c07755e3c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run2.smp
JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run3-1.avi	JTDKE	1110	5 mm	3	1	92901888	449dad769d57415977a05c60a76fe97e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/JTDKE_12wks_5mm/JTDKE_Mouse1110_5 mm_Run3-1.avi
