path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
MTCDZ_10wks_12mm/20230208 calibration-1.avi	N/A	N/A	N/A	N/A	N/A	191334912	f100968ee0b8afe0c1c539c5bdfe98ce	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-1.avi
MTCDZ_10wks_12mm/20230208 calibration-2.avi	N/A	N/A	N/A	N/A	N/A	209904640	8295f751643b7f49fb3dcf1bbbacfa3f	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-2.avi
MTCDZ_10wks_12mm/20230208 calibration-3.avi	N/A	N/A	N/A	N/A	N/A	324989440	93c2650c001a25b47558bce4b4f48c26	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-3.avi
MTCDZ_10wks_12mm/20230208 calibration-4.avi	N/A	N/A	N/A	N/A	N/A	272965632	5522bcc0ac045bdf157c2d8ae1dbba23	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-4.avi
MTCDZ_10wks_12mm/20230208 calibration-5.avi	N/A	N/A	N/A	N/A	N/A	147286528	22b41fa1dfef64a3d2aba9a518290724	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-5.avi
MTCDZ_10wks_12mm/20230208 calibration-6.avi	N/A	N/A	N/A	N/A	N/A	230962176	564dd17e968d0fc7e7fcfb748308c82c	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-6.avi
MTCDZ_10wks_12mm/20230208 calibration-7.avi	N/A	N/A	N/A	N/A	N/A	233955328	130e5a040a8b70da4c946bbf8ec1a834	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-7.avi
MTCDZ_10wks_12mm/20230208 calibration-8.avi	N/A	N/A	N/A	N/A	N/A	228142592	dd782a34a9100f4097105a3801333820	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration-8.avi
MTCDZ_10wks_12mm/20230208 calibration.smp	N/A	N/A	N/A	N/A	N/A	14336	1fb0fcadae5cc0f814d97cae34eead13	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230208 calibration.smp
MTCDZ_10wks_12mm/20230316 calibration-1.avi	N/A	N/A	N/A	N/A	N/A	57052672	96d4fa547eafc892c29ebc50a346821a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCDZ_10wks_12mm/20230316 calibration-1.avi
