path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
MTCKF_52wks_12mm/20230323 calibration-1.avi	N/A	N/A	N/A	N/A	N/A	102344192	fa5619e3ae7bbec2e212fc9783ad10a5	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-1.avi
MTCKF_52wks_12mm/20230323 calibration-2.avi	N/A	N/A	N/A	N/A	N/A	52801024	4cae2e54f3d9492ced1fec0d50e5b9bf	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-2.avi
MTCKF_52wks_12mm/20230323 calibration-3.avi	N/A	N/A	N/A	N/A	N/A	85626880	39fb3627621500fb3bba605badf3b4ac	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-3.avi
MTCKF_52wks_12mm/20230323 calibration-4.avi	N/A	N/A	N/A	N/A	N/A	107487744	2728ba8a474c4bb9df1fa0242b899339	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-4.avi
MTCKF_52wks_12mm/20230323 calibration-5.avi	N/A	N/A	N/A	N/A	N/A	73702912	e78cd8bf8608cb82339bc6f170188974	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-5.avi
MTCKF_52wks_12mm/20230323 calibration-6.avi	N/A	N/A	N/A	N/A	N/A	72520704	8af2f52f64dfd5ab542ce6b99eaeada1	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-6.avi
MTCKF_52wks_12mm/20230323 calibration-7.avi	N/A	N/A	N/A	N/A	N/A	91840000	6a01650b3e236929efc0547411901e72	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-7.avi
MTCKF_52wks_12mm/20230323 calibration-8.avi	N/A	N/A	N/A	N/A	N/A	100299264	e462131261710a7a77a38b63e1b4f870	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration-8.avi
MTCKF_52wks_12mm/20230323 calibration.smp	N/A	N/A	N/A	N/A	N/A	14848	ec6b77406206d1236977f1c39abf41e5	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/20230323 calibration.smp
MTCKF_52wks_12mm/MTCKF_Mouse431_12mm_Run1-1.avi	MTCKF	431	12mm	1	1	35407872	442ca52f82a56abd2079c1116358cc61	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Kononenko/MTCKF_52wks_12mm/MTCKF_Mouse431_12mm_Run1-1.avi
