path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-1.avi	PCCD3	10	12mm	1	1	39881728	4454f4c91e4a27be1a2bbf8769787720	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-1.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-2.avi	PCCD3	10	12mm	1	2	25885696	79d439b057bb628769636462a5f8d020	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-2.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-3.avi	PCCD3	10	12mm	1	3	41828864	e181b7fc0d1358a9214902170e3dea2a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-3.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-4.avi	PCCD3	10	12mm	1	4	9807872	85a0b4ad6f8b883f9a6823448a30dafe	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-4.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-5.avi	PCCD3	10	12mm	1	5	37849600	09644f10845fa8ef3a542ebcad1432e2	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-5.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-6.avi	PCCD3	10	12mm	1	6	32770048	145e4df92176c04b70209e2b7a01cd70	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-6.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-7.avi	PCCD3	10	12mm	1	7	45056512	90edf565cfd5b304b14d8d1cd56cad91	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-7.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-8.avi	PCCD3	10	12mm	1	8	44675584	08365610aee8027010ebe5d304bf0b56	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1-8.avi
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1.smp	PCCD3	10	12mm	1	N/A	14848	b8426ba2968c044e3d13154c0dbaa4ac	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run1.smp
PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run2-1.avi	PCCD3	10	12mm	2	1	91296768	045bf321bbc796f1cecbd38d286dc186	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_12mm/PCCD3_Mouse10_12mm_run2-1.avi
