path[POSIX]	ID_prefix	mouse_number	experiment	run	camera	size[bytes]	checksum[md5]	url
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-1.avi	PCCD3	10	CNO	m	N/A	24735232	a71cb6255cfe738548b14c5fcddcb99a	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-1.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-2.avi	PCCD3	10	CNO	m	N/A	16628736	a65ddc8fe5dfe4bc461df6ea9ec56595	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-2.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-3.avi	PCCD3	10	CNO	m	N/A	25992704	88e20b06032659a8c8eb3f8e6ac4ae45	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-3.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-4.avi	PCCD3	10	CNO	m	N/A	143872	6eb83bf999030d81dfedfae11f01cdd7	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-4.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-5.avi	PCCD3	10	CNO	m	N/A	23463424	086067731a829f01dc6422dca44e8ba1	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-5.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-6.avi	PCCD3	10	CNO	m	N/A	20543488	eec03058da7638572d54eba360c0c57e	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-6.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-7.avi	PCCD3	10	CNO	m	N/A	27657216	c7d94ee1127e7a881e266a7910045b10	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-7.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-8.avi	PCCD3	10	CNO	m	N/A	27691008	829ba0290a74df378d161c8e8a4b204d	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1-8.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1.smp	PCCD3	10	CNO	m	N/A	14848	38cf9f99092f3a2b46f35c5857b36122	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run1.smp
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-1.avi	PCCD3	10	CNO	m	N/A	69101056	ea628e6f692a40eea82302114adc7f0d	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-1.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-2.avi	PCCD3	10	CNO	m	N/A	46480384	3bf7a6db197604e11ae5f381966c16db	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-2.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-3.avi	PCCD3	10	CNO	m	N/A	72452096	aea7e997104022336ef75d0c2cfb6147	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-3.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-4.avi	PCCD3	10	CNO	m	N/A	143872	f57e1d5b73bbf2b9352813fc6613e692	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-4.avi
PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-5.avi	PCCD3	10	CNO	m	N/A	65223680	242a8a68be7fa2f95e47349a2bb60946	//uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion///uk-koeln.lokal/daten/Neurologie/AG Gatto/CRC1451-Z02/RawData_SIMI_Motion/AG Gatto/PCCD3_9wks_25mm_CNO/PCCD3_Mouse10_CNO_25mm_run2-5.avi
